,Star,Paper,Identifier,T_eff,T_eff_err,logg,logg_err,atmosphere,mass,mass_err,RA,Dec,Gaia_designation,parallax,parallax_err,mixing_zone_mass,mag_field,mag_field_err,infrared_excess,gas_emission,binary,origin,comment,[H/H(e)],[H/H(e)]e,[He/H(e)],[He/H(e)]e,[Li/H(e)],[Li/H(e)]e,Acc_rate_Li_steady_state,Sinking_time_Li,mass_fraction_Li,[Be/H(e)],[Be/H(e)]e,Acc_rate_Be_steady_state,Sinking_time_Be,[C/H(e)],[C/H(e)]e,Acc_rate_C_steady_state,Sinking_time_C,mass_fraction_C,[N/H(e)],[N/H(e)]e,Acc_rate_N_steady_state,Sinking_time_N,mass_fraction_N,[O/H(e)],[O/H(e)]e,Acc_rate_O_steady_state,Acc_rate_O_increasing,Acc_rate_O_decreasing,Sinking_time_O,mass_fraction_O,[Na/H(e)],[Na/H(e)]e,Acc_rate_Na_steady_state,Acc_rate_Na_increasing,Acc_rate_Na_decreasing,Sinking_time_Na,mass_fraction_Na,[Mg/H(e)],[Mg/H(e)]e,Acc_rate_Mg_steady_state,Acc_rate_Mg_increasing,Acc_rate_Mg_decreasing,Sinking_time_Mg,mass_fraction_Mg,[Al/H(e)],[Al/H(e)]e,Acc_rate_Al_steady_state,Acc_rate_Al_increasing,Acc_rate_Al_decreasing,Sinking_time_Al,mass_fraction_Al,[Si/H(e)],[Si/H(e)]e,Acc_rate_Si_steady_state,Acc_rate_Si_increasing,Acc_rate_Si_decreasing,Sinking_time_Si,mass_fraction_Si,[P/H(e)],[P/H(e)]e,Acc_rate_P_steady_state,Sinking_time_P,mass_fraction_P,[S/H(e)],[S/H(e)]e,Acc_rate_S_steady_state,Sinking_time_S,mass_fraction_S,[Cl/H(e)],[Cl/H(e)]e,Acc_rate_Cl_steady_state,Sinking_time_Cl,mass_fraction_Cl,[Ar/H(e)],[Ar/H(e)]e,[K/H(e)],[K/H(e)]e,Acc_rate_K_steady_state,Sinking_time_K,[Ca/H(e)],[Ca/H(e)]e,Acc_rate_Ca_steady_state,Acc_rate_Ca_increasing,Acc_rate_Ca_decreasing,Sinking_time_Ca,mass_fraction_Ca,[Sc/H(e)],[Sc/H(e)]e,Acc_rate_Sc_steady_state,Sinking_time_Sc,mass_fraction_Sc,[Ti/H(e)],[Ti/H(e)]e,Acc_rate_Ti_steady_state,Acc_rate_Ti_increasing,Acc_rate_Ti_decreasing,Sinking_time_Ti,mass_fraction_Ti,[V/H(e)],[V/H(e)]e,Acc_rate_V_steady_state,Sinking_time_V,mass_fraction_V,[Cr/H(e)],[Cr/H(e)]e,Acc_rate_Cr_steady_state,Acc_rate_Cr_increasing,Acc_rate_Cr_decreasing,Sinking_time_Cr,mass_fraction_Cr,[Mn/H(e)],[Mn/H(e)]e,Acc_rate_Mn_steady_state,Acc_rate_Mn_increasing,Acc_rate_Mn_decreasing,Sinking_time_Mn,mass_fraction_Mn,[Fe/H(e)],[Fe/H(e)]e,Acc_rate_Fe_steady_state,Acc_rate_Fe_increasing,Acc_rate_Fe_decreasing,Sinking_time_Fe,mass_fraction_Fe,[Co/H(e)],[Co/H(e)]e,Acc_rate_Co_steady_state,Sinking_time_Co,mass_fraction_Co,[Ni/H(e)],[Ni/H(e)]e,Acc_rate_Ni_steady_state,Acc_rate_Ni_increasing,Acc_rate_Ni_decreasing,Sinking_time_Ni,mass_fraction_Ni,[Cu/H(e)],[Cu/H(e)]e,Acc_rate_Cu_steady_state,Sinking_time_Cu,mass_fraction_Cu,[Zn/H(e)],[Zn/H(e)]e,Acc_rate_Zn_steady_state,Sinking_time_Zn,[Ga/H(e)],[Ga/H(e)]e,Acc_rate_Ga_steady_state,Sinking_time_Ga,mass_fraction_Ga,[Ge/H(e)],[Ge/H(e)]e,Acc_rate_Ge_steady_state,Sinking_time_Ge,mass_fraction_Ge,[As/H(e)],[As/H(e)]e,[Se/H(e)],[Se/H(e)]e,[Sr/H(e)],[Sr/H(e)]e,Acc_rate_Sr_steady_state,Sinking_time_Sr,mass_fraction_Sr,[Sn/H(e)],[Sn/H(e)]e,[I/H(e)],[I/H(e)]e,[Ba/H(e)],[Ba/H(e)]e,Acc_rate_Total_steady_state,Acc_rate_Total_increasing,Acc_rate_Total_decreasing
1579,SDSS J110049.52+143915.4,Coutu 2019,SDSS J110049.52+143915.4 Coutu 2019,7146,8,,He,,165.20633,14.65428,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.98,-10.01,-1,0.31,478,,,2.7793218455,0.288128696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,SDSS J110049.52+143915.4,Kepler 2015,SDSS J110049.52+143915.4 Kepler 2015,6432,8,,He,,165.20633,14.65428,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-9.727,,0.14,118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,SDSS J095934.77+255618.75,Kepler 2016,SDSS J095934.77+255618.75 Kepler 2016,7505,8,,He,Gaia DR3 832748872559701376,165.373811887817,49.1191656346505,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.3413K/abstract,,-10.5,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,SDSS J110129.72+490708.96,Kepler 2016,SDSS J110129.72+490708.96 Kepler 2016,8056,8,,He,,165.37383,49.119156,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.3413K/abstract,,-9.012,,,152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,SDSS J110141.48+273017.9,Coutu 2019,SDSS J110141.48+273017.9 Coutu 2019,7735,8,,He,,165.42283,27.50499,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-4.35,-9.02,-1,0.59,629,,,2.1272069772,0.2488755238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,SDSS J110202.02+265335.56,Kepler 2016,SDSS J110202.02+265335.56 Kepler 2016,6907,8,,He,Gaia DR3 822478334444228480,165.50842,26.893211,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.3413K/abstract,,-9.344,,,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,SDSS J110202.02+265335.5,Coutu 2019,SDSS J110202.02+265335.5 Coutu 2019,6938,8.27,0.75,He,Gaia DR3 730298028350540288,165.508430284537,26.8932440749698,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.61,-9.36,-1,0.12,140,0.19,0.13,5.6338028169,0.698274152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,SDSS J120943.03+302629.14,Kepler 2016,SDSS J120943.03+302629.14 Kepler 2016,6794,8,,He,Gaia DR3 730298028350540288,165.508430284537,26.8932440749698,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.3413K/abstract,,-9.061,,,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,SDSS J110216.09+282730.7,Coutu 2019,SDSS J110216.09+282730.7 Coutu 2019,6324,8,,He,,165.56708,28.45854,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.22,-8.24,-1,0.44,222,,,3.5893754487,0.2512305142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,J1102+0214,Caron 2023,J1102+0214 Caron 2023,5675,8.137,0.656,He,Gaia DR3 3808536101967194368,165.642581028121,2.2497933255886,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,-4,-9.77,,,46,0.056,0.05,10.46355452,0.4512792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,SDSS J110234.21+021459.2,Coutu 2019,SDSS J110234.21+021459.2 Coutu 2019,5699,8.14,0.66,He,Gaia DR3 3808536101967194368,165.642581028121,2.2497933255886,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3,-9.78,-1,0.14,58,0.08,0.06,10.3626943005,0.5154500792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,SDSS J110251.37+175552.2,Coutu 2019,SDSS J110251.37+175552.2 Coutu 2019,6949,8.3,0.77,He,Gaia DR3 3983562478910025728,165.714068014255,17.9311896132466,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.6,-9.6,-1,0.15,159,0.19,0.13,5.9952038369,0.7476033562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,SDSS J110251.37+175552.2,Kepler 2015,SDSS J110251.37+175552.2 Kepler 2015,7146,8,,He,Gaia DR3 3983562478910025728,165.714068014255,17.9311896132466,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-9.218,,0.084,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,SDSS J110304.15+414434.9,Coutu 2019,SDSS J110304.15+414434.9 Coutu 2019,5812,7.59,0.36,He,Gaia DR3 778183305928430592,165.767347381901,41.7430700207287,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.03,-9.36,-1,0.08,92,0.2,0.09,6.5061808718,0.643421921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,SDSS J110304.15+414434.9,Kepler 2015,SDSS J110304.15+414434.9 Kepler 2015,6121,8,,He,Gaia DR3 778183305928430592,165.767347381901,41.7430700207287,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-8.937,,0.033,260,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,SDSS J110424.47-160717.0,Coutu 2019,SDSS J110424.47-160717.0 Coutu 2019,8182,8.75,1.06,He,Gaia DR3 3562462135495771648,166.10201,-16.12136,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.99,-8.52,-1,0.52,559,0.34,0.18,5.2854122622,1.3576693232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,SDSS J110426.37+165723.0,Coutu 2019,SDSS J110426.37+165723.0 Coutu 2019,6959,8,,He,,166.10987,16.95642,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.87,-9.4,-1,0.56,339,,,3.300330033,0.240717141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,SDSS J110426.37+165723.0,Kepler 2015,SDSS J110426.37+165723.0 Kepler 2015,6622,8,,He,Gaia DR3 3971423531237571328,166.10987,16.95642,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-9.298,,0.123,106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,SDSS J110426.37+165723.0,Kepler 2015,SDSS J110426.37+165723.0 Kepler 2015,6622,8,,He,Gaia DR3 3971423531237571328,166.10987,16.95642,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-9.298,,0.123,106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,SDSS J110438.38+071129.8,Coutu 2019,SDSS J110438.38+071129.8 Coutu 2019,11167,8.03,0.6,He,Gaia DR3 3818299730867320704,166.159963409948,7.1916449039067,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-6,-9.58,-1,0.09,399,0.08,0.05,6.0024009604,0.1693354413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,SDSSJ110438.38+071129.8,Dufour 2007,SDSSJ110438.38+071129.8 Dufour 2007,10910,,,He,Gaia DR3 3818299730867320704,166.159963409948,7.1916449039067,,https://ui.adsabs.harvard.edu/abs/2007ApJ...663.1291D/abstract,-6,-10.45,-1,0.15,160,,,5.857310611,0.13583598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,SDSS J110438.39+071129.80,Genest-Beaulieu 2019,SDSS J110438.39+071129.80 Genest-Beaulieu 2019,16488,9.34,1.307,He,Gaia DR3 3818299730867320704,166.159963409948,7.1916449039067,,https://ui.adsabs.harvard.edu/abs/2019ApJ...882..106G/abstract,-5.083,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,SDSS J105528.58+621903.6,Koester 2015,SDSS J105528.58+621903.6 Koester 2015,14363,8,,He,Gaia DR3 3818299730867320704,166.159963409948,7.1916449039067,,https://ui.adsabs.harvard.edu/abs/2015A%26A...583A..86K/abstract,-3.93,-7.61,0.26,0.32,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,SDSS J110446.03+243933.37,Kepler 2016,SDSS J110446.03+243933.37 Kepler 2016,10286,8,,He,,166.19179,24.659269,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.3413K/abstract,,-7.735,,,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,SDSS J110446.03+243933.3,Coutu 2019,SDSS J110446.03+243933.3 Coutu 2019,10453,8.27,0.75,He,Gaia DR3 3995629412866477696,166.191860354858,24.6593022711677,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.5,-7.34,0.26,0.09,305,0.11,0.07,6.0753341434,0.4060065345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,SDSS J121927.94+301842.27,Kepler 2016,SDSS J121927.94+301842.27 Kepler 2016,8473,8,,He,Gaia DR3 3995629412866477696,166.191860354858,24.6593022711677,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.3413K/abstract,,-8.239,,,166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,SDSSJ1104+2439,Kepler 2021,SDSSJ1104+2439 Kepler 2021,10753,8.305,0.761,He,Gaia DR3 3995629412866477696,166.191860354858,24.6593022711677,,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4646K/abstract,,-7.669,,0.021,144,0.092,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,SDSS J110456.77+642606.27,Kepler 2016,SDSS J110456.77+642606.27 Kepler 2016,8675,8,,He,,166.23654,64.435075,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.3413K/abstract,,-7.38,,,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,SDSS J110456.77+642606.2,Coutu 2019,SDSS J110456.77+642606.2 Coutu 2019,5668,7.29,0.25,He,Gaia DR3 1055640907669798272,166.23663114034,64.4349800049432,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.09,-10.75,-1,0.26,148,0.62,0.27,3.6737692873,1.0405863778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,SDSS J123412.27+305123.15,Kepler 2016,SDSS J123412.27+305123.15 Kepler 2016,8768,8,,He,Gaia DR3 1055640907669798272,166.23663114034,64.4349800049432,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.3413K/abstract,,-8.898,,,183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,SDSS J110502.99+380111.3,Coutu 2019,SDSS J110502.99+380111.3 Coutu 2019,7843,7.54,0.34,He,Gaia DR3 763282281967678848,166.262489990166,38.0198034474044,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-5.1,-8.97,-1,0.41,280,1.83,0.97,2.4307243559,1.8487448978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,SDSS J110504.81+045745.4,Kepler 2015,SDSS J110504.81+045745.4 Kepler 2015,6782,8,,He,Gaia DR3 3815496938283938688,166.27004,4.962611,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-10.245,,0.046,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,SDSS J110556.17+022849.0,Coutu 2019,SDSS J110556.17+022849.0 Coutu 2019,5848,8,,He,,166.48408,2.48029,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3,-9.51,-1,0.4,143,,,5.8513750731,0.273908722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,SDSS J110550.98+194938.7,Coutu 2019,SDSS J110550.98+194938.7 Coutu 2019,6616,8,,He,,166.496104877166,19.820240875583,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.53,-10.13,-1,0.43,498,,,2.7027027027,0.3367421476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,SDSS J110550.98+194938.7,Kepler 2015,SDSS J110550.98+194938.7 Kepler 2015,6372,8,,He,Gaia DR3 3984408213805652224,166.496104877166,19.820240875583,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-9.812,,0.133,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,SDSS J110550.98+194938.7,Kepler 2015,SDSS J110550.98+194938.7 Kepler 2015,6372,8,,He,Gaia DR3 3984408213805652224,166.496104877166,19.820240875583,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-9.812,,0.133,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
